Description,Type
"Planning Folder/Scanning Issues. 

",Others
"Customers account was locked

Unlocked account and customer can now access fine",Lockouts
Customers account was locked. Unlocked account and customer can now access fine.,Lockouts
"Customers account was locked

Unlocked account and customer can now access fine",Lockouts
Customers account was locked. Unlocked account and customer can now access fine.,Lockouts
"Customers account was locked

Unlocked account and customer can now access fine",Lockouts
"Customers account was locked

Unlocked account and customer can now access fine",Lockouts
Customers account was locked. Unlocked account and customer can now access fine.,Lockouts
"AD account unlock 

Unlocked and all ok - Closing 

",Lockouts
"Customers account was locked

Unlocked account and customer can now access fine",Lockouts
"Customers account was locked

Unlocked account and customer can now access fine",Lockouts
Customers account was locked. Unlocked account and customer can now access fine.,Lockouts
"Customers account was locked

Unlocked account and customer can now access fine",Lockouts
"Unable to send on behalf of shared mailbox

",Others
"Printer Issues.

",Others
"Screen Resolution. 

Working from Leek today and the system font is very small, unreadable  
Unable to change the font as gets an error relating to group policy 
This is the case on several computers in the office. 
Please amend screen resolution 

Contact - Ext 3654
Locaiton - Leek - Regeneration

",Others
"Access Database showing only 1 page

",Others
"Customers account was locked

Unlocked account and customer can now access fine",Lockouts
"Unable to access remote access CAG 

EM""Website cannot display the page""

Lined to 139634 

Contact - 07833 578 872 

",Others
"Remote Access Issues

",Others
"Alchemy

Good Morning

The following message has appeared on my Pc Screen this morning, but not sure what it means:-

“No valid Alchemy Service Licence found.  Alchemy Search will run in single-user mode.  To enable multi user access on your newtwork, you have to licence your product through the Alchemy Licence manager”.

I am on wyse PC; number hpbc 3389

Kind regards

Jayne
Planning Support
X 5951

High Peak Borough Council
Town Hall
Market Place
Buxton
Derbyshire
SK17 6EL",Others
Customers account was locked. Unlocked account and customer can now access fine.,Lockouts
"Unable to log in, computer locked to another user.

",Others
"Outlook web app access problems

I work for Derbyshire County Council and when I am based at Buxton Town Hall I access my county council emails via OWA. DCC have recently changed email provider and as the result of this the OWA logon process has slightly altered. I cannot logon at present because it is asking for software such as Java (TM) to be updated.

Can a member of the IT team contact me to arrange to sit with me while I go through the logon process while they authorise the software up",Others
"Mobile Phone Reset

Hi

Having been off a while my mobile phone has reset and now requires full reset and setting back up with everything. I am currently not driving but have asked a colleague to drop off into Northgate at Buxton on Wednesday as currently only able to work out of Glossop.  Please can you arrange to reset and set up on receipt (thought I had better log a job first)

Thanks

Karen

Karen Taylor
Planning Project Officer, Transformation
High Peak Borough Council and Staf",Others
"Call Centre Screens and CCTV Screens at Glossop

Hi All

I need to report a further problem with the screens at Glossop.  The system had been rebuilt last week for the CCTV and Call Centre Screens at Glossop Municipal Buildings in the back call centre.

These seem to be timing out (which I haven’t unfortunately witnessed), when we have logged the system back on, it doesn’t have the icons for the CCTV and the Mitel Contact Centre Management will allow to be logged on, but doesn’t display th",Others
"Customers account was locked

Unlocked account and customer can now access fine",Lockouts
"Customers account was locked

Unlocked account and customer can now access fine",Lockouts
"Netcool event for High Peak DC: [STAL-RDS-DT-2]


Description: [21/11/2017 4:44:21] -  NOTICE: Windows Service CcmExec (SMS Agent Host) is in a STOPPED status where previously it was in a RUNNING status.

Department: MS Server Team

This incident has been raised manually by the Service Desk via Netcool Monitoring

",Others
"Netcool event for High Peak DC: [STAL-RDS-DT-2]


Description: [21/11/2017 4:44:21] -  NOTICE: Windows Service hpqams (HP ProLiant Agentless Management Service) is in a STOPPED status where previously it was in a RUNNING status.

Description: [21/11/2017 4:44:21] -  NOTICE: Windows Service CcmExec (SMS Agent Host) is in a STOPPED status where previously it was in a RUNNING status.


Department: MS Server Team

This incident has been raised manually by the Service Desk via Netcool Monit",Others
"Netcool event for High Peak DC: [STAL-RDS-DT-2]


Description: [20/11/2017 17:23:36] -  Windows EMS_AGT Heart Beat Failure

Department: MS Server Team

This incident has been raised manually by the Service Desk via Netcool Monitoring

",Others
"Netcool event for Staffordshire Alliance: [planning.highpeak.gov.uk]


Description: [20/11/2017 8:25:1] -  DVC Failed - Internal Server Error (500)

Department: MS Server Team

This incident has been raised manually by the Service Desk via Netcool Monitoring
",Others
"FW: Strange Text Messages received.

Hi,

Please see email below.  This email includes a copy of two text messages I received on my work mobile phone over the weekend.

Two separate messages asking me to open the link and enter the password to view photo/video message.

These were show as having been sent from my manager Terry Crawford.  I checked with Terry before opening, as I thought, he hadn’t sent any messages of this nature, are you able to look into this please?

Thanks

Clare",Others
Customers account was locked. Unlocked account and customer can now access fine.,Lockouts
"Customers account was locked

Unlocked account and customer can now access fine",Lockouts
"Customers account was locked. Unlocked account and reset password, customer can now access fine.",Lockouts
"Print Queue Issues.

",Others
"PC 1074- Battery Problems- Laptop

Above is with the ICT at Buxton.

Kindly sort out why laptop isn’t holding a charge.

Many thanks,

David

David G Owen
Corporate Health and Safety Adviser
Chief Executive’s Office
High Peak Borough Council and
Staffordshire Moorlands District Council
Strategic Alliance
Moorlands House
Stockwell Street
LEEK
Staffordshire Moorlands
ST13 6HQ UK
Direct Dial Tel: +44 (0)1538 395 595
Internal Ext: 4160
www.staffsmoorlands.gov.uk<http://www.sta",Others
"[Paul called to have access to a shared mailbox]

",Others
"FW: help request

Hi,

Please see the information below.

Can this be treated as a priority? Jo Higgins can be contacted about this if required.

Thanks

Adrian

From: Highley, Adrian
Sent: 20 November 2017 09:46
To: Corbishley, Adrian
Subject: FW: LockLizard PDF Viewer

Adrian
I do not have the call reference – can you phone Northgate and follow it up with them and ask them to prioritise.

I believe Mick is off today and tomorrow.
Regards
Adrian

From: Highley, Adrian
S",Others
"Password reset, customer can now log in. Customer Verified: Yes.
Closing Call",Lockouts
"[Mark reports that his machine will not switch on. there is power going to machine as the the light comes on on the front of the machine. Monitor light is orange.

",Others
"Add a printer

",Others
"I have been asked to set up an intranet profile for new starter Carole Sergeant . However her e mail address carole.sergeant @highpeak.gov.uk has been returned undeliverable and it has been removed from the directory. Please advise of the correct e mail address. Thanks
",Others
"Customers account was locked

Unlocked account and customer can now access fine",Lockouts
"Monitor Issue

",Others
"Netcool event for High Peak DC: [STAL-ORACLE-1]


Description: [19/11/2017 5:38:35] -  NOTICE: Windows Service HP StorageWorks VSS Hardware Provider (HP StorageWorks VSS Hardware Provider) is in a STOPPED status where previously it was in a RUNNING status.

Department: MS Server Team

This incident has been raised manually by the Service Desk via Netcool Monitoring

",Others
"Netcool event for High Peak DC: [HPBC-ILAP-WEB]


Description: [19/11/2017 5:15:43] -  Logical Disk C: 95 Percent, 3535 Mbytes free, 80420 Mbytes Total 

Department: MS Server Team

This incident has been raised manually by the Service Desk via Netcool Monitoring

",Others
"Netcool event for High Peak DC: [ICT-MAIL-B]


Description: [19/11/2017 3:7:57] -  System Memory is currently 99% Used

Department: MS Server Team

This incident has been raised manually by the Service Desk via Netcool Monitoring

",Others
"N\Health and Safety
Missing Document

",Others
"Password reset, customer can now log in. Customer Verified: Yes.

Closing Call",Lockouts
"Paul wanted access to folder, will submit request. ",Others
"Carelink new starter signed policies

Hi there

Please find attached copies of signed policies for Charlotte Davenport new starter within Carelink for both ICT & mobile phone policies.

Thank you


With best regards
Tina

Tina Lloyd
High Peak Borough Council
Carelink Team Leader
Tel 01298 813395
or  0345 129 4877 extn 3833
Tina.Lloyd@highpeak.gov.uk








-----Original Message-----
From: Carelink [mailto:community-alarm@highpeak.gov.uk]
Sent: 17 November 2017 13:09
",Others
"Unable to login - iLap

",Others
"ILAP Issue

",Others
"[Unable to access ilap since the network outage. There are three users in the office and nobody can access ilap(highpeak) the drive or network connection that this refers to is not available or missing, please try again. Machines have been rebooted but still they same. Working fine bfore the network outage at lunch time.]

",Others
"Customers account was locked

Unlocked account and customer can now access fine",Lockouts
"Help request

Hi,

Is Capita E-series working? I get this when I try and access the shortcut from the intranet:

[cid:image001.jpg@01D35FA6.8B969DB0]

Regards

Adrian Corbishley
Asset Programme Officer
Asset Management
Staffordshire Moorlands District Council and High Peak Borough Council
Tel: 01538 395 400 Ext. 4177
Email: adrian.corbishley@highpeak.gov.uk<mailto:adrian.corbishley@highpeak.gov.uk>



________________________________
",Others
"Password reset, customer can now log in

Customer Verified: Yes/No/Email from Manager/NA

Closing Call",Lockouts
"Issue Manager (ModGov)

Could I log a call regarding the above please?
I and 2 of my colleagues have experienced problems today when trying to use Issue Manager.
The system has logged us off, having allowed normal logon initially, giving failure messages of differing types when trying to perform various tasks. We have tried restarting from scratch, with no success.
Could this be looked at please?
Thank you,

Pat Trafford
Member & Democratic Services Officer
Staffordshire Moorlands Dist",Others
"Outlook calendar appointments

I’m unable to amend comments on appointments in Andrew Stokes diary.  Please can the onsite team call to discuss.

thanks

Jenny Atherton
PA to Executive Director and Monitoring Officer
High Peak BC & Staffordshire Moorlands DC
Tel:  01538 395623
E-mail:  jenny.atherton@staffsmoorlands.gov.uk<blocked::blocked::mailto:jenny.atherton@staffsmoorlands.gov.uk> or jenny.atherton@highpeak.gov.uk<mailto:jenny.atherton@highpeak.gov.uk>



_____________________",Others
"RE: Paris both online and receptions

Am on the phone to Northgate – Eseries & IBS affected also.

Thanks

Dawn


From: Bailey, Carolyn
Sent: 17 November 2017 12:10
To: ithelp
Cc: Green, Christine; Brown, Dawn; Sargeant, Jane; Lomas, Karen; Ash, Karen
Subject: Paris both online and receptions

This is not working please investigate

Thanks

Carolyn Bailey
Customer Services Supervisor
High Peak BC & Staffordshire Moorlands DC
Tel: 01538 395420

[Ican logo for ppt]
www.hig",Others
"Paris both online and receptions

This is not working please investigate

Thanks

Carolyn Bailey
Customer Services Supervisor
High Peak BC & Staffordshire Moorlands DC
Tel: 01538 395420

[Ican logo for ppt]
www.highpeak.gov.uk<http://www.highpeak.gov.uk/>
www.staffsmoorlands.gov.uk<http://www.staffsmoorlands.gov.uk>


________________________________
",Others
"Civica Open Rev IBSAPP

The IBSAPP server appears to have gone down.  We cannot access Civica open revenues accounts and cannot access the server.

Thanks

Jo

Mrs J Duxbury
Benefit Techinical Officer
High Peak Borough Council & Staffordshire Moorlands District Council
PO Box 136
Buxton
SK17 6EL

Tel 01298 28400 ext 4533


________________________________
",Others
"Systems Down

",Others
"Paris Issues. 

",Others
"Systems Down

",Others
"Benefits System Issues. 

",Others
"Printer Set Up

Hi

Please can you arrange for Nathan Parker to have access to the following printers :-

BX-GFLR-1 on ICT-PRINT-1A
Buxton_Print Function 1 on smdc-print-1

Nathan is on extension 2131 today

Thanks
Shirley

Shirley Mamczur
Technical Assistant Post & Print
High Peak Borough Council & Staffordshire Moorlands District Council
P O Box 136
BUXTON
Derbyshire
SK17 1AQ

Telephone : 0345 129 7777  Ext 2239
E:Mail  :  shirley.mamczur@highpeak.gov.uk",Others
"Unable to connect to network 

Alliance remote desktop 
Em""Computer cannot connect to the remote computer""
Restarted and had the same issue 
There is only one computer in this office Marion Court and one user. 

Asset - 4048
Location - Buxton Town Hall
Contact - 07979 243 133

",Others
"user called with issue -  unable to supply info as had to leave call - user to callback later with moree details to log call
",Others
Customers account was locked. Unlocked account and customer can now access fine.,Lockouts
"Please can the Miracast on the Dove Room projector be looked at.  I was unable to connect today 16/11/2017 even though I have connect to it before.  It may need resetting?
",Others
"Excel Issues. 

",Others
"Stuck mailins

Hi

The Housing Benefit mailins seem to be stuck for SMDC.  Items were created at 9.00 this am and they still have not dropped in.  Can the mailbox please be checked and pushed through.

Thanks

Jane



Jane Sargeant
Customer Services Technical Officer
High Peak Borough Council and
Staffordshire Moorlands District Council
Tel: 01538 3954462

",Others
"Password reset, customer can now log in

Customer Verified: Yes/No/Email from Manager/NA

Closing Call",Lockouts
"[two ipads in reception and will not connect to the interne via wifi.]

",Others
"PC Issue - Disk drive doesn't work!

",Others
"Civica Token Issue

",Others
"Civica Token Issue

",Others
"Description of Issues: Civica On demand Token Generation
Actions taken to Resolve: Token provided to Val Groocock . Connection confirmed.",Others
"Dodgy Email - ""FW: Driver & Vehicle Licensing Agency Notice (E-ticket number#:70117)""



From: Driving Licences UK [mailto:GB2017Driv3r&Vehicl3LicensingAg3ncy-refV112017.829a04f20a1fb29128717513fbd083b549393@ccsu.edu]
Sent: 15 November 2017 14:30
To: Kemp, Tony (CLLR) <Tony.Kemp@highpeak.gov.uk>
Subject: Driver & Vehicle Licensing Agency Notice (E-ticket number#:70117)
Importance: High

Dear tony.kemp@highpeak.gov.uk<mailto:tony.kemp@highpeak.gov.uk>,

Ref : 829a04f20a1fb29128717513f",Others
"ILAP Crashed is unable to access

",Others
"Customers account was locked

Unlocked account and customer can now access fine",Lockouts
"Customers account was locked

Unlocked account and customer can now access fine",Lockouts
"Suspicious Email

",Others
"Andrew Stokes tablet - Mod Gov communication error

Proxy server address will not save with: http://websenseweb:8083/proxy.pac

Will be brought down into Leek Onsite Northgate Thurs 16th late in the afternoon, we can keep it until Monday, then could someone arrange to take to Andrew to test it works.

Thanks

Lindsay


Lindsay Derbyshire
Transformation Business Partner | OD & Transformation
High Peak Borough Council and Staffordshire Moorlands District Council

T: 01298 28400 ext ",Others
"Unable to clear the print queue 

When attempting to clear the queue there are items that she cannot delete. 
They have had this issue several times recently last raised 122241

Printer Name: EnvWaste_M451DN_PR466
Printer IP: 10.0.33.187

",Others
"Expenses System access restriction

I am getting the error message below when trying to access the Approvers option within the Expenses System.
This option use to apply and I am still getting e-mails telling me that there is a claim requiring my approval.

                Thanks
                                Steve

[cid:image001.png@01D35E17.7DD02C90]

Stephen Robinson
Principal Finance Officer (Financial Reporting)
High Peak BC and Staffordshire Moorlands DC
Tel: (01538) 395400 x",Others
"Password reset, customer can now log in, Closing Call.

Customer Verified: Yes.",Lockouts
"Printer Connection Issue 

Advised she needs to connect to a printer 
Talked through adding a printer - \\smdc-print-1\ - all ok Closing 

",Others
"Paris Issue 

Has imported a batch from speadsheet and it's not correct 
needs to delete the batch and would like some advise on this

Contact - 01538 395400 x 4183

",Others
"Mailbox Issues

",Others
"insecure link?

When trying to log into the NatWest Bankline site it is allowing me to log in but not then to progress any further…see message below.

                Thanks
                                Steve

[cid:image001.png@01D35DFE.9E7991C0]

Stephen Robinson
Principal Finance Officer (Financial Reporting)
High Peak BC and Staffordshire Moorlands DC
Tel: (01538) 395400 xtn 4194 Fax: (01538) 395616
Email: stephen.robinson@staffsmoorlands.gov.uk<mailto:stephen.robinson@staffsm",Others
"FW: Internet port

FYI below.

Best regards

Paul

Paul Kelsall
Senior Officer
High Peak Borough Council

Pavilion Gardens
St Johns Rd
Buxton
SK17 6BE

Tel – 01298 23114            Internal Extension - 4697

paul.kelsall@highpeak.gov.uk

www.paviliongardens.co.uk<http://www.paviliongardens.co.uk/>

www.highpeak.gov.uk<http://www.highpeak.gov.uk/>




From: Kelsall, Paul
Sent: 15 November 2017 10:42
To: ithelp <ithelp@highpeak.gov.uk>
Cc: Hopkins, Andrew <andrew.hop",Others
"Password reset, customer can now log in

Customer Verified: Yes

Closing Call",Lockouts
"Password reset, customer can now log in

Customer Verified: Yes

Closing Call
",Lockouts
"Frozen Issues

",Others
"Integra Password Reset required 

Elaine has locked the account and requires a reset

Contact - 07881 857 720 

",Lockouts
"Password reset, customer can now log in, Closing Call.

Customer Verified: Yes.
",Lockouts
"AD account issue

Account is being blocked - Joanne.Wheeldon

Unlocked and reset - Closing 

",Lockouts
"Nick Knowles PW Reset

Password reset, customer can now log in

Customer Verified: Yes

Closing Call",Lockouts
"FILE PATH MAPPING REQUEST

",Others
"Missing Folder/Folder Issues. 

",Others
"Outlook profile options not loading

",Others
"SECONDARD SCREEN  FAILING TO BOOT AT ALL

",Others
"Generic Account - BIDDS_KIOSK

Customers account was locked

Unlocked account and customer can now access fine",Lockouts
"Password reset, customer can now log in, Closing Call.

Customer Verified: Yes.",Lockouts
"Acess to Scanned Documents

I cannot access scanned  documents in the scanned folders titled ‘health and safety’ in particular the one titled vibration,  can you please investigate why?

I am out of the office now until Wednesday.

Thanks,

David

David G Owen
Corporate Health and Safety Adviser
Chief Executive’s Office
High Peak Borough Council and
Staffordshire Moorlands District Council
Strategic Alliance
Moorlands House
Stockwell Street
LEEK
Staffordshire Moorlands
ST13 6",Others
"FW: Risk Assessment Reassurance Check - December 2017

Hello

Please see screenshot below – I am unable to save my changes to this document

Please can this be remedied

Thanks

Helen

[cid:image003.png@01D35C95.7AEF9340]

From: Owen, David
Sent: 13 November 2017 15:37
To: Core, Helen
Subject: RE: Risk Assessment Reassurance Check - December 2017

Hi Helen,

Northgate had assured me that all Managers could access the spreadsheet.

Your name was on the list!

Would you pl",Others
"Helpdesk Request

Hi,

I am unable to open AutoCAD either from a dwg file or by opening the programme directly. I have been using PC1005.

See attached screenshots.


Regards

Adrian Corbishley
Asset Programme Officer
Asset Management
Staffordshire Moorlands District Council and High Peak Borough Council
Tel: 01538 395 400 Ext. 4177
Email: adrian.corbishley@highpeak.gov.uk<mailto:adrian.corbishley@highpeak.gov.uk>



________________________________
Do you really need to pri",Others
"Switch User greyed out

",Others
"Password reset, customer can now log in

Customer Verified: Yes
Closing Call",Lockouts
"Telephone contact

Good morning,
We have a couple of remote workers who have frequently needed to contact Northgate direct. They have rang  Northgate from their mobile on the 08 number but have incurred considerable call charges – is there any other number they could call so they can reduce the costs of the calls?
Thanks
jo

Regards

Mrs J Wheeldon
Principal Income Officer
Staffordshire Moorlands District Council &
High Peak Borough Council


Tel: 01538 395400 Ext 4070
Mobile: 07",Others
"Password reset, customer can now log in

Customer Verified: Yes

Closing Call",Lockouts
"Cllr Banks Unable to Log on to Tablet at Home

Hi,

Please can Cllr Banks be contacted at home on 01538 753250 as he is unable to log on to his tablet at home.

Thank you

Sally

Sally Hampton
Member & Community Support Services Officer
High Peak Borough Council & Staffordshire Moorlands District Council
sally.hampton@staffsmoorlands.gov.uk<mailto:sally.hampton@staffsmoorlands.gov.uk>
Tel: 01538 395429


________________________________
",Lockouts
"Civica Open Revenues - password reset function

I am trying to get the password reset function to work.  This is a function by where an email is sent to the user when they forget their password.

When I have tried it its advising that the email has failed.

In the set up notes it advises that the SMTP server should be configured to allow  prowin32.exe to be able to send emails out.     The SMTP server name held in our process control is 10.1.10.90.  Please can you advise if it configured c",Others
"Customers account was locked

Unlocked account and customer can now access fine",Lockouts
"Customers account was locked

Unlocked account and customer can now access fine",Lockouts
"Customers account was locked

Unlocked account and customer can now access fine",Lockouts
"Customers account was locked

Unlocked account and customer can now access fine",Lockouts
"security alert

Hi

I keep getting a box popping up saying Revocation information for the security certificate for this site is not available do you want to proceed?

This comes up very frequently and will come back after I dismissed it. Can you please stop it happening.

Thanks

Emma Mortimer 
Client Officer (Countryside)
Operational Services
(Weds pm and all of Thurs & Fri)

Tel 0345 6053010 ext 4505
Mob 07738 506435

Staffordshire Moorlands District Council
& High Peak Boro",Others
"FAO Chris Cooke

Hi

FAO Chris Cooke

The Rents Team phones have been moved from fixed to log in phones, with an additional number of 3814 being set up to ring all 4 rents phones if one of the rents logins is unavailable.  I have been unable to log into 3814 to set a voicemail message.  Also I cant pick up a message that has been left on that number.  The pin number which I thought was 1111 doesn’t work to access the voicemails.  Please can you assist?

Thanks

Rachel Newsam

Rachel ",Others
"Customers account was locked

Unlocked account and customer can now access fine",Lockouts
"Printing Issue 

Unable to add printer 

\\smdc-print-1\

I was unable to connect however talked through adding the printer - Closing 

",Others
Customers account was locked. Unlocked account and customer can now access fine.,Lockouts
"AD account unlock and reset 

Unlocked and reset - Closing 

",Others
"Dodgy Email

Hi

I’ve received a dodgy email, details are:

Subject: ?Re: yay amazing weekend
From: Trafford Pat jodydyj@163.com<mailto:jodydyj@163.com>
Date and time: Thu 09/11/2017 23:05

The email was also sent to Swithenbank Arne <aswithenbank@highpeak.gov.uk>; Thurlby, Emma <Emma.Thurlby@highpeak.gov.uk>; Swithenbank, Arne <arne.swithenbank@staffsmoorlands.gov.uk>; Walker Zoe <zoe.walker@freeths.co.uk>; Steans, Barry Barry.Steans@staffsmoorlands.gov.uk<mailto:Barry.Steans@staffsmo",Others
"Customers account was locked

Unlocked account and customer can now access fine",Lockouts
"FAO Andrew Hopkins

Attempting to contact Andrew Hopkins regarding reference 129672

Has completed the suggested testing however has the same issue - Original call notes are below. Closure notes added to history 
===

Help request

Hi,

Can you log a help request to resolve the issue when using PC1005? The issue is that the PC keeps trying to install MS project. This keeps recurring even when the window is closed down.

[cid:image001.png@01D3498E.1C53BD30]

[cid:image002.png@01D34",Others
"Mail box stopped for IBS mailins

Hi

It looks like no mailins are being fired into the IBS referencing queue for SMDC if you can take a look please.

Thanks

Jane

Jane Sargeant
Customer Services Technical Officer
High Peak Borough Council and
Staffordshire Moorlands District Council
Tel: 01538 3954462",Others
"FW: OHMS software notes

Hi

I am unable to access the link to the OHMS upgrade notes.  Can you help?

Thanks
Rachel Newsam

Rachel Newsam
Income Team Leader
High Peak Borough Council
Tel: 0345 1298075  ext 3829

From: Wheeldon, Joanne
Sent: 09 November 2017 12:00
To: Newsam, Rachel; Yates, Andrea; Coppock, Rebecca; Dubyl, Andrew; Dubyl, Andrew
Cc: Hazeldene, Claire
Subject: OHMS software notes

Dear all,
A couple of us haven’t been able to access the release notes from the ",Others
"Customers account was locked

Unlocked account and customer can now access fine",Lockouts
"NPS Portal

There seems to be an issue with the portal, when clicking on Service Request, I am taken to Log an Incident – however the % brings up no matches so unable to log either

thanks

[cid:image001.png@01D3593D.6B35C740]


Lindsay Derbyshire
Transformation Business Partner | OD & Transformation
High Peak Borough Council and Staffordshire Moorlands District Council

T: 01298 28400 ext 5460 or 01538 395400 ext 5460
M: 07976 753223
E: lindsay.derbyshire@highpeak.gov.uk<mailto:l",Others
"Factory Reset 

Andrew advised when logging off yesterday he selected ""reset to factory settings"" 
Now when logging in he is presented with two options 
Default ICA and Default RDP 
Normally enters username and password however now it's asking for a host name etc to be setup 

Contact - ext 3830

",Others
"Problem with HPBC email address

Hi,

At present I have a High Peak email address for which all messages should be forwarded to my Staffordshire Moorlands Inbox.  I understand that when a message is currently sent to my High Peak address people are instead getting a undeliverable message bounce back to them and the email is not received by my Staffordshire Moorlands account.  Can this problem be resolved please?

Thanks

Linden

Linden Vernon
Senior Officer (Governance & Member Suppor",Others
"glossop monitor

The monitor behind reception at Glossop is now working, however unable to log on as the mouse is refusing to respond
Please can this be looked into
Thanks
Lyn

Customer Services

Tel: 0345 129 77 77
customer-services@highpeak.gov.uk<mailto:customer-services@highpeak.gov.uk<mailto:customer-services@highpeak.gov.uk%3cmailto:customer-services@highpeak.gov.uk>>
SMS Text Messaging: 07800 00 22 62
",Others
"CRM Ctax into IBS

This has stopped flowing please can you get it working again?

Thanks

Carolyn Bailey
Customer Services Supervisor
High Peak BC & Staffordshire Moorlands DC
Tel: 01538 395420

[Ican logo for ppt]
www.highpeak.gov.uk<http://www.highpeak.gov.uk/>
www.staffsmoorlands.gov.uk<http://www.staffsmoorlands.gov.uk>


________________________________
",Others
"Access to private water supply email box. 

advised to speak to a manager for Authorisation - Closing 

",Others
"Cag remote access not working

Hello,

My cag citrix access us not working since recent windows update. Attached is screenshot please advise.

Thank You

Denis
07713189069
Sent from my Windows 10 phone",Others
"Civica Open Revenues - Email job queues for High Peak and Staffs Moorlands have not restarted

Hi there

The Email job queues for both High Peak and Staffs Moorlands appear to have not restarted.

Please can they be restarted.

Thanks

Jo

Mrs J Duxbury
Benefit Techinical Officer
High Peak Borough Council & Staffordshire Moorlands District Council
PO Box 136
Buxton
SK17 6EL

Tel 01298 28400 ext 4533


________________________________
",Others
"FW: *SERVICE RESTORED* - Internet Access (Including Remote Services)

Hi

I’ve tried to get on to the internet but it’s not letting me on since this message

I’m getting the message below

Thanks
Jonathan
Internal Server Error
The server encountered an internal error or misconfiguration and was unable to complete your request.
Please contact the server administrator, [no address given] and inform them of the time the error occurred, and anything you might have done that may have caus",Others
"Intranet Down

Users are reporting they are unable to access the authorities intranet (alliance-online.org)

Engineers have reported this to the hosting company, asking to restart the VPN.

",Others
"Internal Server Error - No Internet

Hi

I can’t get access to any of the internet based systems that I need to do my job. (I’m twiddling my thumbs)

I still don’t have access to the internet; I’ve re-booted a couple of times.  Please could this be looked at as a priority?

Thanks
Helen

[cid:image001.jpg@01D35875.3F5947F0]

Helen Ashworth
Compliance Technical Assistant
High Peak Borough Council and
Staffordshire Moorlands District Council
www.staffsmoorlands.gov.uk<http://www.s",Others
"can't get on integra

Hello,

I cannot get onto integra

[cid:image001.png@01D35873.D26CDEF0]

Caroline Johnson
Sundry Accounts for High Peak Borough Council
Normal hours of work
Mon 9-3
Tue 9-4
Wed 9-3


________________________________
",Others
"AD account unlock and reset 

Unlocked and reset - Closing 

",Lockouts
"Outlook issues

Please advise if there are issues regarding Outlook this morning.

Outlook is very unresponsive.

Thanks

Jenny Atherton
PA to Executive Director and Monitoring Officer
High Peak BC & Staffordshire Moorlands DC
Tel:  01538 395623
E-mail:  jenny.atherton@staffsmoorlands.gov.uk<blocked::blocked::mailto:jenny.atherton@staffsmoorlands.gov.uk> or jenny.atherton@highpeak.gov.uk<mailto:jenny.atherton@highpeak.gov.uk>

",Others
"Internet Issue 

Have had an email to say the issue with the internet has been resolved however still experiencing issues 
When opening internet explorer she gets EM""internal error"" 
This is affecting her colleagues in the office, around 15+
Restarted and had the same issue 

Asset - 0243
Contact - 01538 395 400 Ext - 4423
Location - Fowlchurch

",Others
"Description of Issues: Civica On demand Token Generation
Actions taken to Resolve: Token provided to Pradeep Chooneea, however was unable to connect 

When attempting to connect he got a white screen only after entering login details. 
Closed connected and attempted to connect again, same issue experienced. 
Fully restarted computer and retried, same issue

Contact - 07835 466 407
Asset - n/a 03836 
Location - Working from home ",Others
"Internet

Its not working  at the moment please investigate

Thanks

Carolyn Bailey
Customer Services Supervisor
High Peak BC & Staffordshire Moorlands DC
Tel: 01538 395420

[Ican logo for ppt]
www.highpeak.gov.uk<http://www.highpeak.gov.uk/>
www.staffsmoorlands.gov.uk<http://www.staffsmoorlands.gov.uk>


________________________________
",Others
"No Connection 

Unable to log in remotely 
When attempting to he gets Em 
Phones shows as connecting and the computers show Em""This computer cannot connect to the remote computer""
Linked to 135187

Contact - 07775 756 317
",Others
"Screen resolution fault

",Others
"Em""This computer cannot connect to the remote computer""

This is when attmepting to connect to the STAL Remote Services 
Is working from the Gainsley hot desk suite
Advised when switching the computer on the first option they have is to connect to STAL RDS 
When attempting to do so they get Em""This computer cannot connect to the remote computer""
The telephones connected to the computer show ""contacting server"" 
This is affecting all phones and computers in the office 
No others in the of",Others
"No internet access, in relation to Incident 135187.",Others
"Multiple Network Issues

",Others
"Real-time monitor in Forcepioint Triton console not working - nothing loaded in area that would normally show results.

Please investigate.

Thanks.

I am looking to diagnose issues reported in Incident 134975 - whereby user is unable to receive remote suppot (from software vendor) via gotoassist.  Possible block from Websense/Forcepoint.

",Others
"
call monitor display  failing to boot up correctly 
investigation needed 
machine has been rebooted  but no change

",Others
"Unable to forward/reply on mailbox 134668

Originally requested on ref 134668
Asked to get a manager to email in authorisation - Closing 

",Others
"'All Staff' Emails

Hello,

As per the email correspondence below, I have recently become aware that I have not received a number of emails that have been sent to ‘All Staff’ by Vanessa Higgins – Information Business Partner. Vanessa has confirmed that I am featured on her ‘All Staff’ mailing group and I can confirm that these emails have not gone into my ‘junk’ folder and that I have had no problems receiving emails that Vanessa has sent directly to me ?

Could this be related to my recen",Others
"Access to fast support - gotoassist - required

I have previously had access to the program to allo support for  the EZYtree software I use.

This access is now denied - can this be retified.

I am on ext 4464 to day

Monica Gillespie
Arboricultural Officer

Tel No: 0345 6053 010  ext  4507 (Mitel)
Mobile: 07967 173 858
Email: monica.gillespie@highpeak.gov.uk

Website http://www.highpeak.gov.uk/culture/trees/


________________________________
Do you really need to print out t",Others
